Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
125.0;0.005906219317403868;0.0;0.0;1.6585508957476044e-12;0.0;0.0;0.0;-0.14136725682565032;-0.07520192659748934;-0.2833697389829317;-9.174;0.0
126.0;0.005989442140843282;0.0;0.0;1.6942681885189379e-12;0.0;0.0;0.0;-0.1357990114445214;-0.08224456254919049;-0.2722168650309227;-9.32;0.0
127.0;0.006303011702009897;0.0;0.0;1.8530169015284152e-12;0.0;0.0;0.0;-0.1349515207516617;-0.08936141004996018;-0.2705502918474939;-9.829;0.0
128.0;0.0065105600201881865;0.0;0.0;1.98481911817707e-12;0.0;0.0;0.0;-0.131778376156145;-0.08982833262368468;-0.2642109821653442;-10.178;0.0
129.0;0.006242782754015975;0.0;0.0;1.819132366586637e-12;0.0;0.0;0.0;-0.12013824908159179;-0.08026190587284249;-0.24084478912897775;-9.784;9.148884562489794e-6
130.0;0.005610232429921204;0.0;0.0;1.3742908911659787e-12;0.0;0.0;0.0;-0.10368625339185536;-0.0667319581924745;-0.20778719401562137;-8.811;0.00011485713244119769
131.0;0.005072451934426924;0.0;0.0;9.017551344686807e-13;0.0;0.0;0.0;-0.09129329481219187;-0.057228540002447606;-0.18285632393800727;-7.977;0.0003345864671704797
132.0;0.004873781621540134;0.0;0.0;7.759870350533937e-13;0.0;0.0;0.0;-0.08689342359896164;-0.05410862114707451;-0.1739738126594867;-7.668;0.0005336027976794942
133.0;0.004730866845719627;0.0;0.0;6.980135537239738e-13;0.0;0.0;0.0;-0.08510948004084148;-0.053451582958059594;-0.17033214653238246;-7.44;0.0007347424603124609
134.0;0.004840070788844811;0.0;0.0;7.567151082157513e-13;0.0;0.0;0.0;-0.08940149286783698;-0.0574473045216489;-0.17890600125907674;-7.602;0.000846338607119344
135.0;0.005417449235860286;0.0;0.0;1.1790294867400248e-12;0.0;0.0;0.0;-0.10419697252205147;-0.06965658719360707;-0.2085837963131659;-8.491;0.0008824253257109911
136.0;0.006323987942024249;0.0;0.0;1.865248251943045e-12;0.0;0.0;0.0;-0.12787479697183782;-0.09022019712509483;-0.25613949875379816;-9.884;0.0008263527286215438
137.0;0.007397712917615354;0.0;0.0;4.595773944381531e-12;0.0;0.0;0.0;-0.15802276686934452;-0.11805864467111953;-0.31675386674492806;-11.524;0.0006704886005103561
138.0;0.00798630181741683;0.0;0.0;8.36403376844516e-12;0.0;0.0;0.0;-0.18036034496226871;-0.14076686337465055;-0.3617012778778486;-12.398;0.0004372947622844213
139.0;0.00808607851314963;0.0;0.0;9.204711577899153e-12;0.0;0.0;0.0;-0.19253078291946019;-0.15248185280078963;-0.3862054140288041;-12.513;0.0001664494823384023
140.0;0.00781689000888172;0.0;0.0;7.084670975954691e-12;0.0;0.0;0.0;-0.19511732236006088;-0.150797019719959;-0.39139448703081864;-12.066;7.49672906670575e-6
141.0;0.007448618298749336;0.0;0.0;4.853230590213793e-12;0.0;0.0;0.0;-0.1933608998759612;-0.1399460126930141;-0.38781748607086536;-11.479;0.0
142.0;0.007077745502234933;0.0;0.0;3.2108455392783043e-12;0.0;0.0;0.0;-0.18925507822426638;-0.12390013833808157;-0.379529954751244;-10.9;0.0
143.0;0.006688651685910196;0.0;0.0;2.1199118601420492e-12;0.0;0.0;0.0;-0.18224626979624836;-0.10573922061907061;-0.3654212764739961;-10.302;0.0
144.0;0.006401755655861569;0.0;0.0;1.912636392563213e-12;0.0;0.0;0.0;-0.17606270810397046;-0.06747314995918852;-0.3529840714261087;-9.889;0.0
